figure_id,What is the level of RNA expression?,What is the level of protein expression?,"If there is RNA expression, what patterns does the RNA make?","If there is protein expression, what patterns does the protein make?",Nascent transcript level,Cytosolic RNA level,Is there obvious RNA/protein discordance (whole image)?,Flag this gene as a potential one to use for a figure in the paper?,Is RNA present in soma?,Is protein present in soma?,Is RNA present in midline glia?,Is protein present in midline glia?,Is RNA present in neuropil?,Is protein present in neuropil?,Is figure quality too poor?,General comments,,somaRNAnoProtein,somaproteinnoRNA,neuropil_RNAnoProtein,neuropil_ProteinnoRNA,figure_id
2138639,High,Low,Evenly distributed,"Diffuse	Cytoplasmic",Low,High,Yes,No,Yes,Yes,N/A,No,Yes,No,No,,,0,0,0,0,2137987
2138015,High,Moderate,More in some cells than others,"Punctate	Cytoplasmic",High,High,No,Yes,Yes,Yes,Yes,Yes,No,No,No,"Very large congregations of RNA in some cells, pretty rare in this screen. Might be a subtype?",,0,0,0,0,2138447
2137968,High,Moderate,More in some cells than others,"Punctate	Diffuse",Low,High,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Control images missing,,0,0,0,0,2138536
2138762,Moderate,Moderate,Evenly distributed,"Cytoplasmic	Cell type specific",Low,Moderate,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Needs to be more zoomed in. Hard to see RNA,,0,0,0,0,2138555
2138869,Moderate,Moderate,More in some cells than others,Cell edges,Moderate,Moderate,No,No,Yes,Yes,No,No,No,No,No,,,0,0,0,0,2138023
2137964,High,Moderate,Evenly distributed,Cell edges,High,High,No,No,Yes,Yes,No,No,No,No,Yes,Very bright threads in RNA channel. Not a good image for this one,,0,0,0,0,2138916
2138806,Low,Low,Single transcripts,"Punctate	Large aggregations",Low,Low,No,No,Yes,Yes,N/A,No,N/A,No,Yes,Neuropil image is in the wrong place,,0,0,0,0,2137909
2138042,Moderate,Moderate,More in some cells than others,"Cell edges	Diffuse	Large aggregations",Moderate,Moderate,No,No,Yes,Yes,Yes,No,Yes,Yes,No,,,0,0,0,0,2138820
2137931,High,Moderate,Evenly distributed,"Punctate	Large aggregations",Moderate,High,No,No,Yes,Yes,Yes,Yes,No,Yes,No,,,0,0,0,0,2138656
2138746,None,None,,,None,None,No,No,No,No,No,No,No,No,No,Doesn't seem to be expressed,,0,0,0,0,2138015
2138017,Moderate,High,Evenly distributed,"Diffuse	Cytoplasmic",Low,Moderate,No,No,Yes,Yes,N/A,No,N/A,No,Yes,"Should be more zoomed in, Neuropil isnt visible. hard to see RNA signal. Protein seems to be in a subset of the NB lineage?",,0,0,0,0,2137968
2138625,Low,Low,More in some cells than others,Diffuse,Low,Low,No,No,Yes,Yes,Yes,Yes,No,No,No,,,0,0,0,0,2138869
2138841,High,High,Evenly distributed,"Diffuse	Cytoplasmic",Low,High,No,No,Yes,Yes,Yes,Yes,No,No,No,RNA channel is too faint,,0,0,0,0,2137964
2138066,Low,Moderate,More in some cells than others,Diffuse,Low,Low,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,,,0,0,0,0,2138806
2138580,None,None,,,None,None,No,No,No,No,No,No,No,No,No,Doesn't seem to be expressed,,0,0,0,0,2138042
2137782,High,Moderate,More in some cells than others,"Punctate	Large aggregations",Moderate,High,No,No,Yes,Yes,No,No,No,No,No,,,0,0,0,0,2138746
2137997,Low,Moderate,Single transcripts,"Diffuse	Large aggregations",None,Low,Yes,No,Yes,No,No,Yes,No,Yes,No,,,0,0,0,0,2138017
2138683,Moderate,None,More in some cells than others,,None,High,Yes,No,Yes,No,No,No,Yes,No,No,,,0,0,0,0,2138625
2138365,High,High,Evenly distributed,"Diffuse	Cytoplasmic",High,High,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,,,0,0,0,0,2138841
2138434,None,None,,,None,None,No,No,No,No,No,No,No,No,Yes,"Doesn't seem to be expressed, but syp smFISH isn't there either so maybe it failed?",,0,0,0,0,2138580
2137889,None,None,,,None,None,No,No,No,No,No,No,No,No,Yes,Doesn't appear to be expressed. Is this a 20x shot? OR 30x and not zoomed in. Need to check resolution and pixel size.,,0,0,0,0,2137782
2138438,None,Low,,Diffuse,None,None,Yes,No,No,Yes,No,No,No,No,Yes,Controls need updating,,0,0,0,0,2138365
2138369,Low,Moderate,Single transcripts,Cytoplasmic,Moderate,Low,No,No,Yes,Yes,N/A,No,No,No,Yes,Neuropil image doesn't show much neuropil,,0,0,0,0,2138434
2138884,High,Moderate,Evenly distributed,"Punctate	Cell edges",Low,High,Yes,No,Yes,Yes,No,No,No,Yes,No,,,0,0,0,0,2137889
2138561,None,Low,,Diffuse,None,None,Yes,No,No,No,No,No,No,Yes,No,,,0,0,0,0,2138369
2138502,None,None,,,None,None,No,No,No,No,No,No,No,No,Yes,Cell bodies image is mostly neuropil. Lots of artefacts in RNA channel? Not able to score this,,0,0,0,0,2138502
2140674,High,High,Evenly distributed,Punctate,Low,High,No,No,Yes,Yes,Yes,Yes,No,No,No,,,,,,,
2140037,None,Low,,Punctate,None,None,Yes,No,No,Yes,No,Yes,No,No,No,,,,,,,
2140579,Low,Moderate,"Single transcripts	Nuclear	More in some cells than others",Diffuse,Moderate,Moderate,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,,,,,,,
2140672,None,None,,,None,None,No,No,No,No,No,No,No,No,No,Doesn't seem to be expressed,,,,,,
2140573,None,None,,,None,None,No,No,No,No,No,No,No,No,No,Doesn't seem to be expressed,,,,,,
2140587,High,High,More in some cells than others,"Cell edges	Large aggregations	Cytoplasmic",Moderate,High,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,,,,,,,
2140673,Low,Low,More in some cells than others,Punctate,Low,Low,Yes,No,Yes,Yes,No,No,No,No,No,,,,,,,
2140680,Moderate,Low,Evenly distributed,Punctate,Low,Moderate,No,Yes,Yes,Yes,Yes,Yes,No,No,No,,,,,,,
