figure_id,What is the level of RNA expression?,What is the level of protein expression?,"If there is RNA expression, what patterns does the RNA make?","If there is protein expression, what patterns does the protein make?",Nascent transcript level,Cytosolic RNA level,Is there obvious RNA/protein discordance (whole image)?,Flag this gene as a potential one to use for a figure in the paper?,Is RNA present in soma?,Is protein present in soma?,Is RNA present in neuropil?,Is protein present in neuropil?,Is figure quality too poor?,General comments,Is RNA present in midline glia?,Is protein present in midline glia?
2138924,High,High,"Evenly distributed	Single transcripts",Nuclear,High,High,No,No,Yes,Yes,Yes,No,No,,Yes,Yes
2138947,Low,High,Single transcripts,Nuclear,Low,Low,Yes,Yes,Yes,Yes,Yes,No,No,,Yes,Yes
2138871,Moderate,High,"Single transcripts	Other",,Moderate,High,No,No,Yes,Yes,Yes,No,No,RNA is everywhere and protein only if there are cells (not in the neuropil),Yes,Yes
2138900,Moderate,Low,Single transcripts,Cell edges,Moderate,High,Yes,No,Yes,No,Yes,No,No,high concentration of RNA evenly expressed but not translated in this compartments,Yes,No
2139013,Low,Low,Single transcripts,"Diffuse	Cell type specific",Low,Low,No,No,Yes,Yes,N/A,Yes,Yes,,Yes,No
2138886,Low,None,More in some cells than others,,None,Low,No,No,Yes,No,No,No,No,,No,No
2140673,Moderate,Moderate,"Evenly distributed	Single transcripts	Nuclear","Punctate	Cell type specific",Moderate,Low,Yes,Yes,Yes,No,Yes,No,No,,Yes,No
2138916,None,None,,,None,None,No,No,No,No,No,No,Yes,"Coded as ""poor image"": less signal on the experimental *syp* channel than the control that might explain the lack of signal on the RNA and protein pannels",No,No
2140680,Moderate,None,Single transcripts,,Low,Moderate,Yes,Yes,Yes,No,Yes,No,No,,Yes,No
2138808,Low,Moderate,Single transcripts,Punctate,Low,Moderate,No,No,No,No,Yes,Yes,No,,Yes,Yes
2138820,Low,Moderate,Single transcripts,Cytoplasmic,Low,Moderate,Yes,No,Yes,Yes,Yes,No,No,"at ""cell bodies"" image, there are some cells with a high concentration of RNa whereas the protein concentration is the same for all the cells",N/A,Yes
2138943,High,High,"Single transcripts	Nuclear	More in some cells than others	Other","Nuclear	Diffuse",Moderate,High,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes
2138869,High,High,Single transcripts,"Cytoplasmic	Cell type specific",High,Moderate,Yes,Yes,Yes,Yes,Yes,No,No,"Discordance: whilst RNA is everywhere, protein is concentrated in the cells",Yes,Yes
2138806,Moderate,Low,"Single transcripts	More in some cells than others	Other","Nuclear	Other",Low,Moderate,Yes,Yes,No,No,Yes,Yes,No,,N/A,Yes
2138841,Low,High,Single transcripts,"Cytoplasmic	Cell type specific",Moderate,Moderate,Yes,Yes,Yes,Yes,Yes,No,No,,Yes,Yes
2138884,High,Moderate,Single transcripts,"Punctate	Diffuse	Cell type specific",Moderate,High,No,No,Yes,Yes,Yes,Yes,No,,Yes,Yes
