figure_id,What is the level of RNA expression?,What is the level of protein expression?,"If there is RNA expression, what patterns does the RNA make?","If there is protein expression, what patterns does the protein make?",Nascent transcript level,Cytosolic RNA level,Is there obvious RNA/protein discordance (whole image)?,Flag this gene as a potential one to use for a figure in the paper?,Is RNA present in Kenyon cell somata?,Is protein present in Kenyon cell somata?,Is RNA present in MB lobes?,Is protein present in MB lobes?,Is RNA present in MB calyx?,Is protein present in MB calyx?,Is figure quality too poor?,General comments,,soma_RNAnoProtein,soma_ProteinnoRNA,lobes_RNAnoProtein,lobesproteinNoRNA,calyxRNAnoProtein,calyxProteinNoRNA,figure_id
2137950,High,None,Evenly distributed,,Low,High,Yes,No,Yes,No,No,No,No,Yes,No,,,0,0,0,0,0,0,2138392
2138590,High,None,Evenly distributed,,Moderate,High,Yes,No,Yes,No,Yes,No,Yes,No,No,,,0,0,0,0,0,0,2137911
2138076,None,None,,,None,None,No,No,No,No,No,No,No,No,Yes,Lobe image doesn't show lobes. ,,0,0,0,0,0,0,2139875
2138627,Low,Moderate,Single transcripts,Large aggregations,Low,Low,No,No,No,No,No,No,No,No,No,,,0,0,0,0,0,0,2138338
2138744,None,None,,,None,None,No,No,No,No,No,No,No,No,No,Doesnt seem to be expressed,,0,0,0,0,0,0,2137794
2138644,Moderate,None,More in some cells than others,,Moderate,Moderate,Yes,Yes,Yes,No,No,No,No,No,No,LArge aggregations of RNA in a handful of cells,,0,0,0,0,0,0,2138516
2138662,Low,Moderate,Single transcripts,"Punctate	Large aggregations",Low,Low,Yes,No,Yes,Yes,No,Yes,No,Yes,No,,,0,0,0,0,0,0,2138259
2138033,High,High,Evenly distributed,"Diffuse	Large aggregations",Low,High,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,,,0,0,0,0,0,0,2138579
2138877,High,High,Evenly distributed,"Diffuse	Large aggregations",High,High,Yes,No,Yes,Yes,No,Yes,No,Yes,No,,,0,0,0,0,0,0,2138255
2138814,None,None,,,None,None,No,No,No,No,No,No,No,No,No,Doesn't seem to be expressed,,0,0,0,0,0,0,2137891
2138818,Moderate,Moderate,More in some cells than others,"Cell edges	Cytoplasmic",Low,Moderate,No,No,Yes,Yes,No,No,No,No,No,,,0,0,0,0,0,0,2138797
2138121,High,Moderate,Evenly distributed,"Punctate	Diffuse",Moderate,High,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,,,0,0,0,0,0,0,2138631
2137759,Low,None,Evenly distributed,,Low,Low,Yes,No,No,No,Yes,No,No,No,No,,,0,0,0,0,0,0,2137765
2138853,None,None,,,None,None,No,No,No,No,No,No,No,Yes,Yes,Bad contrasting. DAPI is saturated. No RNA signal? Hard to interperet,,0,0,0,0,0,0,2138800
2138758,Low,Low,More in some cells than others,"Punctate	Large aggregations",Low,Low,Yes,No,No,Yes,No,No,No,No,No,,,0,0,0,0,0,0,2138863
2138658,High,Low,Evenly distributed,Punctate,Moderate,High,Yes,No,Yes,No,No,No,Yes,No,No,,,0,0,0,0,0,0,2138908
2137923,Low,None,Single transcripts,,None,Low,No,No,Yes,No,No,No,No,No,No,Large aggregations in RNA channel. Are they real?,,0,0,0,0,0,0,2138660
2138754,None,None,,,None,None,No,No,No,No,No,No,No,No,Yes,Are the large accummulations of RNA real? Josh can you have a look and see what you think?,,0,0,0,0,0,0,2138076
2137940,High,Moderate,Evenly distributed,Diffuse,Low,High,Yes,No,Yes,Yes,No,Yes,No,Yes,No,,,0,0,0,0,0,0,2138627
2138457,High,Moderate,Evenly distributed,"Punctate	Diffuse",Moderate,High,No,No,Yes,Yes,Yes,No,No,Yes,No,Re-contrasting needed,,0,0,0,0,0,0,2138744
2138545,High,Low,Evenly distributed,Diffuse,Low,High,Yes,No,Yes,No,No,Yes,No,No,No,,,0,0,0,0,0,0,2138033
2137985,Moderate,Low,Evenly distributed,"Punctate	Cell edges	Diffuse",None,Low,No,No,Yes,No,No,No,No,No,No,,,0,0,0,0,0,0,2138814
2138526,Low,Low,Single transcripts,"Diffuse	Cytoplasmic",None,Low,No,No,Yes,Yes,No,No,No,No,Yes,Needs to be recontrasted. ,,0,0,0,0,0,0,2138818
2138426,Moderate,Low,Evenly distributed,Punctate,Low,Moderate,No,No,Yes,No,No,No,No,No,Yes,Quality of especially the cell bodies image isn't great,,0,0,0,0,0,0,2138121
2138473,High,High,Evenly distributed,"Diffuse	Cytoplasmic",Moderate,High,No,No,Yes,Yes,Yes,No,No,No,No,,,0,0,0,0,0,0,2138754
2138341,Moderate,Moderate,Evenly distributed,"Large aggregations	Cytoplasmic",Moderate,Moderate,No,No,Yes,Yes,No,Yes,No,No,No,,,0,0,0,0,0,0,2138526
2140678,Low,None,More in some cells than others,,Low,Low,Yes,No,Yes,No,No,No,No,No,No,,,,,,,,,
2140666,None,None,,,None,None,No,No,No,No,No,No,No,No,No,Don't think it's expressed,,,,,,,,
2140668,High,High,Evenly distributed,Punctate,Moderate,High,No,No,Yes,Yes,No,No,No,No,No,,,,,,,,,
2140667,Low,None,Evenly distributed,,Low,Low,Yes,No,Yes,No,No,No,No,No,No,Could do with better contrasting to make RNA easier to see,,,,,,,,
2140574,None,None,,,None,None,No,No,No,No,No,No,No,No,No,Doesn't seem to be expressed,,,,,,,,
2140578,Moderate,High,More in some cells than others,Cell edges,Moderate,Moderate,No,No,Yes,Yes,Yes,No,No,No,No,,,,,,,,,
2140583,Moderate,High,Evenly distributed,Cell edges,Low,Moderate,No,No,Yes,Yes,No,Yes,No,Yes,No,Could do with some recontrasting of the lobe image,,,,,,,,
